_id,Id,FirstName,LastName,City,Country,Phone
5f1f5ef519f51f02bc587573,10,Elizabeth,Lincoln,Tsawassen,Canada,(604) 555-4729
5f1f5ef519f51f02bc587570,7,Frédérique,Citeaux,Strasbourg,France,88.60.15.31
5f1f5ef519f51f02bc587585,28,Lino,Rodriguez,Lisboa,Portugal,(1) 354-2534
5f1f5ef519f51f02bc58758e,37,Patricia,McKenna,Cork,Ireland,2967 542
5f1f5ef519f51f02bc587591,40,Daniel,Tonini,Versailles,France,30.59.84.10
5f1f5ef519f51f02bc587579,16,Elizabeth,Brown,London,UK,(171) 555-2282
5f1f5ef519f51f02bc58756a,1,Maria,Anders,Berlin,Germany,030-0074321
5f1f5ef519f51f02bc587578,15,Pedro,Afonso,Sao Paulo,Brazil,(11) 555-7647
5f1f5ef519f51f02bc587589,32,Howard,Snyder,Eugene,USA,(503) 555-7555
5f1f5ef519f51f02bc58756d,4,Thomas,Hardy,London,UK,(171) 555-7788
5f1f5ef519f51f02bc58756c,3,Antonio,Moreno,México D.F.,Mexico,(5) 555-3932
5f1f5ef519f51f02bc58757a,17,Sven,Ottlieb,Aachen,Germany,0241-039123
5f1f5ef519f51f02bc58756f,6,Hanna,Moos,Mannheim,Germany,0621-08460
5f1f5ef519f51f02bc587580,23,Martine,Rancé,Lille,France,20.16.10.16
5f1f5ef519f51f02bc587594,43,John,Steel,Walla Walla,USA,(509) 555-7969
5f1f5ef519f51f02bc58759d,52,Alexander,Feuer,Leipzig,Germany,0342-023176
5f1f5ef519f51f02bc5875a6,61,Bernardo,Batista,Rio de Janeiro,Brazil,(21) 555-4252
5f1f5ef519f51f02bc5875a4,59,Georg,Pipps,Salzburg,Austria,6562-9722
5f1f5ef519f51f02bc58756b,2,Ana,Trujillo,México D.F.,Mexico,(5) 555-4729
5f1f5ef519f51f02bc587571,8,Martín,Sommer,Madrid,Spain,(91) 555 22 82
5f1f5ef519f51f02bc58757b,18,Janine,Labrune,Nantes,France,40.67.88.88
5f1f5ef519f51f02bc587593,42,Yoshi,Tannamuri,Vancouver,Canada,(604) 555-3392
5f1f5ef519f51f02bc5875a3,58,Guillermo,Fernández,México D.F.,Mexico,(5) 552-3745
5f1f5ef519f51f02bc587575,12,Patricio,Simpson,Buenos Aires,Argentina,(1) 135-5555
5f1f5ef519f51f02bc58757c,19,Ann,Devon,London,UK,(171) 555-0297
5f1f5ef519f51f02bc587584,27,Paolo,Accorti,Torino,Italy,011-4988260
5f1f5ef519f51f02bc58758d,36,Yoshi,Latimer,Elgin,USA,(503) 555-6874
5f1f5ef519f51f02bc58759a,49,Giovanni,Rovelli,Bergamo,Italy,035-640230
5f1f5ef519f51f02bc58759b,50,Catherine,Dewey,Bruxelles,Belgium,(02) 201 24 67
5f1f5ef519f51f02bc5875a9,64,Sergio,Gutiérrez,Buenos Aires,Argentina,(1) 123-5555
5f1f5ef519f51f02bc587582,25,Peter,Franken,München,Germany,089-0877310
5f1f5ef519f51f02bc58757d,20,Roland,Mendel,Graz,Austria,7675-3425
5f1f5ef519f51f02bc58758c,35,Carlos,Hernández,San Cristóbal,Venezuela,(5) 555-1340
5f1f5ef519f51f02bc587592,41,Annette,Roulet,Toulouse,France,61.77.61.10
5f1f5ef519f51f02bc587590,39,Philip,Cramer,Brandenburg,Germany,0555-09876
5f1f5ef519f51f02bc587597,46,Carlos,González,Barquisimeto,Venezuela,(9) 331-6954
5f1f5ef519f51f02bc5875a7,62,Lúcia,Carvalho,Sao Paulo,Brazil,(11) 555-1189
5f1f5ef519f51f02bc5875a8,63,Horst,Kloss,Cunewalde,Germany,0372-035188
5f1f5ef519f51f02bc587588,31,André,Fonseca,Campinas,Brazil,(11) 555-9482
5f1f5ef519f51f02bc58758f,38,Helen,Bennett,Cowes,UK,(198) 555-8888
5f1f5ef519f51f02bc587595,44,Renate,Messner,Frankfurt a.M.,Germany,069-0245984
5f1f5ef519f51f02bc587598,47,Felipe,Izquierdo,I. de Margarita,Venezuela,(8) 34-56-12
5f1f5ef519f51f02bc587576,13,Francisco,Chang,México D.F.,Mexico,(5) 555-3392
5f1f5ef519f51f02bc58757e,21,Aria,Cruz,Sao Paulo,Brazil,(11) 555-9857
5f1f5ef519f51f02bc58757f,22,Diego,Roel,Madrid,Spain,(91) 555 94 44
5f1f5ef519f51f02bc587581,24,Maria,Larsson,Bräcke,Sweden,0695-34 67 21
5f1f5ef519f51f02bc58758b,34,Mario,Pontes,Rio de Janeiro,Brazil,(21) 555-0091
5f1f5ef519f51f02bc5875a5,60,Isabel,de Castro,Lisboa,Portugal,(1) 356-5634
5f1f5ef519f51f02bc587577,14,Yang,Wang,Bern,Switzerland,0452-076545
5f1f5ef519f51f02bc58756e,5,Christina,Berglund,Luleå,Sweden,0921-12 34 65
5f1f5ef519f51f02bc587586,29,Eduardo,Saavedra,Barcelona,Spain,(93) 203 4560
5f1f5ef519f51f02bc587596,45,Jaime,Yorres,San Francisco,USA,(415) 555-5938
5f1f5ef519f51f02bc58759c,51,Jean,Fresnière,Montréal,Canada,(514) 555-8054
5f1f5ef519f51f02bc58759e,53,Simon,Crowther,London,UK,(171) 555-7733
5f1f5ef519f51f02bc58759f,54,Yvonne,Moncada,Buenos Aires,Argentina,(1) 135-5333
5f1f5ef519f51f02bc587599,48,Fran,Wilson,Portland,USA,(503) 555-9573
5f1f5ef519f51f02bc587574,11,Victoria,Ashworth,London,UK,(171) 555-1212
5f1f5ef519f51f02bc587583,26,Carine,Schmitt,Nantes,France,40.32.21.21
5f1f5ef519f51f02bc587587,30,José,Pedro Freyre,Sevilla,Spain,(95) 555 82 82
5f1f5ef519f51f02bc5875a0,55,Rene,Phillips,Anchorage,USA,(907) 555-7584
5f1f5ef519f51f02bc5875a2,57,Marie,Bertrand,Paris,France,(1) 42.34.22.66
5f1f5ef519f51f02bc587572,9,Laurence,Lebihan,Marseille,France,91.24.45.40
5f1f5ef519f51f02bc58758a,33,Manuel,Pereira,Caracas,Venezuela,(2) 283-2951
5f1f5ef519f51f02bc5875a1,56,Henriette,Pfalzheim,Köln,Germany,0221-0644327
5f1f5ef519f51f02bc5875b1,72,Hari,Kumar,London,UK,(171) 555-1717
